상품번호,상품이름,상품구분,가격,재고
1,민트초코아이스크림,F,1000,230
2,파인애플피자,F,9000,300
3,스마트폰,E,1060000,250
4,블루투스 이어폰,E,230000,1000
5,블루투스 램프,E,15000,300
6,곱창전골 밀키트,F,18500,200
7,굴림만두,F,9750,150
8,무풍 에어컨,E,1679000,50
9,커피머신,E,257000,120
10,와플메이커,E,35000,80
11,텀블러,A,12000,95
12,노트북,E,1869000,30
13,핸드폰 충전기,E,14400,200
14,키보드,E,55000,100
15,무선 이어폰,E,8500,90
16,소설책,B,12000,100
17,맥주,F,3500,52
18,기저귀,A,30600,80
19,물티슈,A,8300,100
20,립스틱,C,45000,25
21,드라이기,A,19900,70
22,화장솜,C,5500,180
23,마우스,E,3460,50
24,카페트,Z,75000,90
25,암체어,Z,39900,100
26,독서등,Z,58410,205
27,안마의자,Z,4200000,15
28,가발,A,66500,23
29,호빵,F,17010,401
30,시계,A,480000,27
31,신라면,F,750,105
32,커피원두,F,7900,80
33,믹스커피,F,5400,76
34,녹차티백세트,F,8070,300
35,핸드크림,A,15000,155
36,두루마리휴지,A,12050,90
37,삼색볼펜,S,700,100
38,초코칩,F,13450,302
39,캠핑텐트,A,79400,101
40,만화책,B,9500,150
41,자격증책,B,12500,170
42,마스카라,C,17700,29
43,노트,S,870,112
44,크레파스,S,3500,257
45,지우개,S,500,503
