구매번호,고객번호,상품번호,구매개수
1,1,6,1
2,1,1,2
3,2,4,20
4,3,12,2
5,4,19,5
6,5,25,2
7,6,18,10
8,7,22,6
9,6,23,30
10,9,20,4
11,10,21,5
12,2,5,3
13,7,20,1
14,4,40,2
15,4,41,1
16,5,43,1
17,5,44,3
18,5,45,1
19,1,8,2
20,10,3,2
21,7,27,1
22,5,30,2
23,1,39,3
24,1,3,1
25,9,35,3
26,2,3,1
27,2,23,3
28,3,4,1
29,7,34,2
30,7,39,1
31,3,34,1
32,8,7,1
33,11,34,1
34,12,9,2
35,16,27,1
36,15,20,1
37,15,22,5
38,20,4,1
39,20,5,2
40,20,12,2
41,18,1,10
42,18,2,20
43,12,13,3
44,11,31,3
45,17,39,1
46,17,28,2
47,17,11,10
48,19,14,1
49,19,12,1
50,12,10,3
51,13,17,2
52,14,19,1
53,6,30,1
54,17,30,1
55,18,6,2
